AuthorityId,Country,Year,Family,SpeciesId,Species,sp_code,sp_n,sp_kg
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2023","Acanthuridae","b2c60cd2-4201-4ab9-a32d-420d5a8562ee","Acanthurus xanthopterus","C11","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2023","Carangidae","6c272b4e-56b0-4fa2-9e9e-ba06c47de73f","Caranx papuensis","NXP","12","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2023","Chanidae","1b186c83-d5c7-4a28-bb16-a705af451335","Chanos chanos","MIL","2","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2023","Gerreidae","ac808edb-589d-4bc7-b4b2-d77255fd0f8c","Gerres oyena","GEJ","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2023","Haemulidae","e530953b-a5bf-4b0b-baee-da5c52dcfbac","Plectorhinchus gibbosus","IEW","6","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2023","Holocentridae","f2252d9e-5bcb-44e9-9ba0-f395ea9dc370","Sargocentron spiniferum","HVS","2","0"
"162417ed-713b-4aaf-a457-9a9e9edda7b3","FJ","2023","Lethrinidae","a394c286-4381-411d-9f12-c4ec98de58b4","Lethrinus harak","LTK","7","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2023","Lethrinidae","a394c286-4381-411d-9f12-c4ec98de58b4","Lethrinus harak","LTK","6","1"
"162417ed-713b-4aaf-a457-9a9e9edda7b3","FJ","2023","Lutjanidae","5b990302-2249-49c0-99a1-5ba911c5065d","Lutjanus bohar","LJB","18","9"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2023","Lutjanidae","6e3a2f61-2e49-4a3d-861c-cc7645920455","Lutjanus fulvus","LJV","3","0"
